IDADMIN1,IDADMIN2,ADMIN1,ADMIN2,REGION
11,1101,ACEH,SIMEULUE,SUMATERA
11,1102,ACEH,ACEH SINGKIL,SUMATERA
11,1103,ACEH,ACEH SELATAN,SUMATERA
11,1104,ACEH,ACEH TENGGARA,SUMATERA
11,1105,ACEH,ACEH TIMUR,SUMATERA
11,1106,ACEH,ACEH TENGAH,SUMATERA
11,1107,ACEH,ACEH BARAT,SUMATERA
11,1108,ACEH,ACEH BESAR,SUMATERA
11,1109,ACEH,PIDIE,SUMATERA
11,1110,ACEH,BIREUEN,SUMATERA
11,1111,ACEH,ACEH UTARA,SUMATERA
11,1112,ACEH,ACEH BARAT DAYA,SUMATERA
11,1113,ACEH,GAYO LUES,SUMATERA
11,1114,ACEH,ACEH TAMIANG,SUMATERA
11,1115,ACEH,NAGAN RAYA,SUMATERA
11,1116,ACEH,ACEH JAYA,SUMATERA
11,1117,ACEH,BENER MERIAH,SUMATERA
11,1118,ACEH,PIDIE JAYA,SUMATERA
11,1171,ACEH,KOTA BANDA ACEH,SUMATERA
11,1172,ACEH,KOTA SABANG,SUMATERA
11,1173,ACEH,KOTA LANGSA,SUMATERA
11,1174,ACEH,KOTA LHOKSEUMAWE,SUMATERA
11,1175,ACEH,KOTA SUBULUSSALAM,SUMATERA
12,1201,SUMATERA UTARA,NIAS,SUMATERA
12,1202,SUMATERA UTARA,MANDAILING NATAL,SUMATERA
12,1203,SUMATERA UTARA,TAPANULI SELATAN,SUMATERA
12,1204,SUMATERA UTARA,TAPANULI TENGAH,SUMATERA
12,1205,SUMATERA UTARA,TAPANULI UTARA,SUMATERA
12,1206,SUMATERA UTARA,TOBA SAMOSIR,SUMATERA
12,1207,SUMATERA UTARA,LABUHAN BATU,SUMATERA
12,1208,SUMATERA UTARA,ASAHAN,SUMATERA
12,1209,SUMATERA UTARA,SIMALUNGUN,SUMATERA
12,1210,SUMATERA UTARA,DAIRI,SUMATERA
12,1211,SUMATERA UTARA,KARO,SUMATERA
12,1212,SUMATERA UTARA,DELI SERDANG,SUMATERA
12,1213,SUMATERA UTARA,LANGKAT,SUMATERA
12,1214,SUMATERA UTARA,NIAS SELATAN,SUMATERA
12,1215,SUMATERA UTARA,HUMBANG HASUNDUTAN,SUMATERA
12,1216,SUMATERA UTARA,PAKPAK BHARAT,SUMATERA
12,1217,SUMATERA UTARA,SAMOSIR,SUMATERA
12,1218,SUMATERA UTARA,SERDANG BEDAGAI,SUMATERA
12,1219,SUMATERA UTARA,BATU BARA,SUMATERA
12,1220,SUMATERA UTARA,PADANG LAWAS UTARA,SUMATERA
12,1221,SUMATERA UTARA,PADANG LAWAS,SUMATERA
12,1222,SUMATERA UTARA,LABUHAN BATU SELATAN,SUMATERA
12,1223,SUMATERA UTARA,LABUHAN BATU UTARA,SUMATERA
12,1224,SUMATERA UTARA,NIAS UTARA,SUMATERA
12,1225,SUMATERA UTARA,NIAS BARAT,SUMATERA
12,1271,SUMATERA UTARA,KOTA SIBOLGA,SUMATERA
12,1272,SUMATERA UTARA,KOTA TANJUNG BALAI,SUMATERA
12,1273,SUMATERA UTARA,KOTA PEMATANG SIANTAR,SUMATERA
12,1274,SUMATERA UTARA,KOTA TEBING TINGGI,SUMATERA
12,1275,SUMATERA UTARA,KOTA MEDAN,SUMATERA
12,1276,SUMATERA UTARA,KOTA BINJAI,SUMATERA
12,1277,SUMATERA UTARA,KOTA PADANGSIDIMPUAN,SUMATERA
12,1278,SUMATERA UTARA,KOTA GUNUNGSITOLI,SUMATERA
13,1301,SUMATERA BARAT,KEPULAUAN MENTAWAI,SUMATERA
13,1302,SUMATERA BARAT,PESISIR SELATAN,SUMATERA
13,1303,SUMATERA BARAT,SOLOK,SUMATERA
13,1304,SUMATERA BARAT,SIJUNJUNG,SUMATERA
13,1305,SUMATERA BARAT,TANAH DATAR,SUMATERA
13,1306,SUMATERA BARAT,PADANG PARIAMAN,SUMATERA
13,1307,SUMATERA BARAT,AGAM,SUMATERA
13,1308,SUMATERA BARAT,LIMA PULUH KOTA,SUMATERA
13,1309,SUMATERA BARAT,PASAMAN,SUMATERA
13,1310,SUMATERA BARAT,SOLOK SELATAN,SUMATERA
13,1311,SUMATERA BARAT,DHARMASRAYA,SUMATERA
13,1312,SUMATERA BARAT,PASAMAN BARAT,SUMATERA
13,1371,SUMATERA BARAT,KOTA PADANG,SUMATERA
13,1372,SUMATERA BARAT,KOTA SOLOK,SUMATERA
13,1373,SUMATERA BARAT,KOTA SAWAH LUNTO,SUMATERA
13,1374,SUMATERA BARAT,KOTA PADANG PANJANG,SUMATERA
13,1375,SUMATERA BARAT,KOTA BUKITTINGGI,SUMATERA
13,1376,SUMATERA BARAT,KOTA PAYAKUMBUH,SUMATERA
13,1377,SUMATERA BARAT,KOTA PARIAMAN,SUMATERA
14,1401,RIAU,KUANTAN SINGINGI,SUMATERA
14,1402,RIAU,INDRAGIRI HULU,SUMATERA
14,1403,RIAU,INDRAGIRI HILIR,SUMATERA
14,1404,RIAU,PELALAWAN,SUMATERA
14,1405,RIAU,SIAK,SUMATERA
14,1406,RIAU,KAMPAR,SUMATERA
14,1407,RIAU,ROKAN HULU,SUMATERA
14,1408,RIAU,BENGKALIS,SUMATERA
14,1409,RIAU,ROKAN HILIR,SUMATERA
14,1410,RIAU,KEPULAUAN MERANTI,SUMATERA
14,1471,RIAU,KOTA PEKANBARU,SUMATERA
14,1473,RIAU,KOTA DUMAI,SUMATERA
15,1501,JAMBI,KERINCI,SUMATERA
15,1502,JAMBI,MERANGIN,SUMATERA
15,1503,JAMBI,SAROLANGUN,SUMATERA
15,1504,JAMBI,BATANG HARI,SUMATERA
15,1505,JAMBI,MUARO JAMBI,SUMATERA
15,1506,JAMBI,TANJUNG JABUNG TIMUR,SUMATERA
15,1507,JAMBI,TANJUNG JABUNG BARAT,SUMATERA
15,1508,JAMBI,TEBO,SUMATERA
15,1509,JAMBI,BUNGO,SUMATERA
15,1571,JAMBI,KOTA JAMBI,SUMATERA
15,1572,JAMBI,KOTA SUNGAI PENUH,SUMATERA
16,1601,SUMATERA SELATAN,OGAN KOMERING ULU,SUMATERA
16,1602,SUMATERA SELATAN,OGAN KOMERING ILIR,SUMATERA
16,1603,SUMATERA SELATAN,MUARA ENIM,SUMATERA
16,1604,SUMATERA SELATAN,LAHAT,SUMATERA
16,1605,SUMATERA SELATAN,MUSI RAWAS,SUMATERA
16,1606,SUMATERA SELATAN,MUSI BANYUASIN,SUMATERA
16,1607,SUMATERA SELATAN,BANYU ASIN,SUMATERA
16,1608,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,SUMATERA
16,1609,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,SUMATERA
16,1610,SUMATERA SELATAN,OGAN ILIR,SUMATERA
16,1611,SUMATERA SELATAN,EMPAT LAWANG,SUMATERA
16,1612,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,SUMATERA
16,1613,SUMATERA SELATAN,MUSI RAWAS UTARA,SUMATERA
16,1671,SUMATERA SELATAN,KOTA PALEMBANG,SUMATERA
16,1672,SUMATERA SELATAN,KOTA PRABUMULIH,SUMATERA
16,1673,SUMATERA SELATAN,KOTA PAGAR ALAM,SUMATERA
16,1674,SUMATERA SELATAN,KOTA LUBUKLINGGAU,SUMATERA
17,1701,BENGKULU,BENGKULU SELATAN,SUMATERA
17,1702,BENGKULU,REJANG LEBONG,SUMATERA
17,1703,BENGKULU,BENGKULU UTARA,SUMATERA
17,1704,BENGKULU,KAUR,SUMATERA
17,1705,BENGKULU,SELUMA,SUMATERA
17,1706,BENGKULU,MUKOMUKO,SUMATERA
17,1707,BENGKULU,LEBONG,SUMATERA
17,1708,BENGKULU,KEPAHIANG,SUMATERA
17,1709,BENGKULU,BENGKULU TENGAH,SUMATERA
17,1771,BENGKULU,KOTA BENGKULU,SUMATERA
18,1801,LAMPUNG,LAMPUNG BARAT,SUMATERA
18,1802,LAMPUNG,TANGGAMUS,SUMATERA
18,1803,LAMPUNG,LAMPUNG SELATAN,SUMATERA
18,1804,LAMPUNG,LAMPUNG TIMUR,SUMATERA
18,1805,LAMPUNG,LAMPUNG TENGAH,SUMATERA
18,1806,LAMPUNG,LAMPUNG UTARA,SUMATERA
18,1807,LAMPUNG,WAY KANAN,SUMATERA
18,1808,LAMPUNG,TULANGBAWANG,SUMATERA
18,1809,LAMPUNG,PESAWARAN,SUMATERA
18,1810,LAMPUNG,PRINGSEWU,SUMATERA
18,1811,LAMPUNG,MESUJI,SUMATERA
18,1812,LAMPUNG,TULANG BAWANG BARAT,SUMATERA
18,1813,LAMPUNG,PESISIR BARAT,SUMATERA
18,1871,LAMPUNG,KOTA BANDAR LAMPUNG,SUMATERA
18,1872,LAMPUNG,KOTA METRO,SUMATERA
19,1901,KEPULAUAN BANGKA BELITUNG,BANGKA,SUMATERA
19,1902,KEPULAUAN BANGKA BELITUNG,BELITUNG,SUMATERA
19,1903,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,SUMATERA
19,1904,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,SUMATERA
19,1905,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,SUMATERA
19,1906,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,SUMATERA
19,1971,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,SUMATERA
21,2101,KEPULAUAN RIAU,KARIMUN,SUMATERA
21,2102,KEPULAUAN RIAU,BINTAN,SUMATERA
21,2103,KEPULAUAN RIAU,NATUNA,SUMATERA
21,2104,KEPULAUAN RIAU,LINGGA,SUMATERA
21,2105,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,SUMATERA
21,2171,KEPULAUAN RIAU,KOTA BATAM,SUMATERA
21,2172,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SUMATERA
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,JAVA & BALI
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,JAVA & BALI
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,JAVA & BALI
31,3173,DKI JAKARTA,KOTA JAKARTA PUSAT,JAVA & BALI
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,JAVA & BALI
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,JAVA & BALI
32,3201,JAWA BARAT,BOGOR,JAVA & BALI
32,3202,JAWA BARAT,SUKABUMI,JAVA & BALI
32,3203,JAWA BARAT,CIANJUR,JAVA & BALI
32,3204,JAWA BARAT,BANDUNG,JAVA & BALI
32,3205,JAWA BARAT,GARUT,JAVA & BALI
32,3206,JAWA BARAT,TASIKMALAYA,JAVA & BALI
32,3207,JAWA BARAT,CIAMIS,JAVA & BALI
32,3208,JAWA BARAT,KUNINGAN,JAVA & BALI
32,3209,JAWA BARAT,CIREBON,JAVA & BALI
32,3210,JAWA BARAT,MAJALENGKA,JAVA & BALI
32,3211,JAWA BARAT,SUMEDANG,JAVA & BALI
32,3212,JAWA BARAT,INDRAMAYU,JAVA & BALI
32,3213,JAWA BARAT,SUBANG,JAVA & BALI
32,3214,JAWA BARAT,PURWAKARTA,JAVA & BALI
32,3215,JAWA BARAT,KARAWANG,JAVA & BALI
32,3216,JAWA BARAT,BEKASI,JAVA & BALI
32,3217,JAWA BARAT,BANDUNG BARAT,JAVA & BALI
32,3218,JAWA BARAT,PANGANDARAN,JAVA & BALI
32,3271,JAWA BARAT,KOTA BOGOR,JAVA & BALI
32,3272,JAWA BARAT,KOTA SUKABUMI,JAVA & BALI
32,3273,JAWA BARAT,KOTA BANDUNG,JAVA & BALI
32,3274,JAWA BARAT,KOTA CIREBON,JAVA & BALI
32,3275,JAWA BARAT,KOTA BEKASI,JAVA & BALI
32,3276,JAWA BARAT,KOTA DEPOK,JAVA & BALI
32,3277,JAWA BARAT,KOTA CIMAHI,JAVA & BALI
32,3278,JAWA BARAT,KOTA TASIKMALAYA,JAVA & BALI
32,3279,JAWA BARAT,KOTA BANJAR,JAVA & BALI
33,3301,JAWA TENGAH,CILACAP,JAVA & BALI
33,3302,JAWA TENGAH,BANYUMAS,JAVA & BALI
33,3303,JAWA TENGAH,PURBALINGGA,JAVA & BALI
